hour,run_id,pipeline,call_count,tokens_total,tokens_input,tokens_output,tokens_cached,models,source_type
2026-03-04 06:00,2550c75f994447cb85d9bbfee21be73f,recipe.chunking.v1,6,6972,6972,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,4880a2fa968c41a1b3cc4ecefd854e00,recipe.chunking.v1,6,6960,6960,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,bf77b94f7de54da18d3ab1e38ef05fa9,recipe.chunking.v1,6,6960,6960,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,07b075f23b2f4d4f8b463214883903db,recipe.chunking.v1,6,6960,6960,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,e24411b9cf184ed8b4eeb1af2027f766,recipe.chunking.v1,6,6960,6960,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,0c2f307c23b34f15a8a0ebf6fe01f244,recipe.final.v1,6,7027478,6946652,80826,6567936,gpt-5.3-codex-spark,worker
2026-03-04 06:00,cdf7ba18c700474a8da85224d03d7aae,recipe.chunking.v1,6,6972,6972,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,c9e3c06ec04a4bf2beed3daaf66e795d,recipe.chunking.v1,6,6960,6960,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,6b9660b2aeba4db5be2e148f6ba6470d,recipe.chunking.v1,6,6960,6960,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,a9e1b84375d146baa0ba1e5f2739fff7,recipe.chunking.v1,6,6960,6960,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,5830a07e1a45466183705d3e97d3ded3,recipe.chunking.v1,6,6960,6960,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,485ed386bdbd48299eba6a080b73fd14,recipe.chunking.v1,6,4566,4566,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,3141f4f3aad2483ea73bdbc3b85aeceb,recipe.chunking.v1,3,3486,3486,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,96eae5f9b0d54e22a1f65274f887bb89,recipe.chunking.v1,3,3480,3480,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,2601ec25c7f44b04adc977a0589dcb1a,recipe.chunking.v1,3,3480,3480,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,5d19a38423f44e15ac92f389a82a9781,recipe.chunking.v1,3,3480,3480,0,0,gpt-5.3-codex-spark,worker
